date,S,I,R,observed_I,beta,nu
2023-09-23,12545624.69461407,2285.3350194216227,2152089.9703665203,1640992.0,1.0812986268511735,1.0
2023-09-30,12543515.724221952,2108.9703921180158,2154375.305385942,1644218.0,1.0812986268511735,1.0
2023-10-07,12541569.835154837,1945.8890671155634,2156484.2757780603,1647275.0,1.0812986268511735,1.0
2023-10-14,12539774.695273168,1795.1398816686292,2158430.164845176,1649788.0,1.0812986268511735,1.0
2023-10-21,12538118.862989513,1655.832283654633,2160225.3047268447,1652736.0,1.0812986268511735,1.0
2023-10-28,12536591.729345335,1527.1336441783453,2161881.1370104994,1656161.0,1.0812986268511735,1.0
2023-11-04,12535183.462857472,1408.2664878626522,2163408.270654678,1659292.0,1.0812986268511735,1.0
2023-11-11,12533884.9571707,1298.5056867718106,2164816.5371425403,1662731.0,1.0812986268511735,1.0
2023-11-18,12532687.781515293,1197.1756554076806,2166115.042829312,1666837.0,1.0812986268511735,1.0
2023-11-25,12531584.133938394,1103.647576897657,2167312.2184847197,1671350.0,1.0812986268511735,1.0
2023-12-02,12530566.797254166,1017.3366842294439,2168415.8660616176,1675565.0,1.0812986268511735,1.0
2023-12-09,12529629.097639102,937.6996150627982,2169433.202745847,1679637.0,1.0812986268511735,1.0
2023-12-16,12528764.865784952,864.231854150096,2170370.9023609096,1684056.0,1.0812986268511735,1.0
2023-12-23,12527968.40051133,796.465273622843,2171235.1342150597,1688204.0,1.0812986268511735,1.0
2023-12-30,12527234.434733074,733.9657782561063,2172031.5994886826,1692087.0,1.0812986268511735,1.0
2024-01-06,12526558.10367285,676.331060222443,2172765.565266939,1696249.0,1.0812986268511735,1.0
2024-01-13,12525934.915207135,623.1884657153904,2173441.896327161,1699335.0,1.0812986268511735,1.0
2024-01-20,12525360.722233042,574.1929740925642,2174065.0847928766,1701685.0,1.0812986268511735,1.0
2024-01-27,12524831.696944242,529.0252888004713,2174639.277766969,1703654.0,1.0812986268511735,1.0
2024-02-03,12524344.306905998,487.3900382451463,2175168.3030557693,1705370.0,1.0812986268511735,1.0
2024-02-10,12523895.292822078,449.014083919213,2175655.6930940147,1706698.0,1.0812986268511735,1.0
2024-02-17,12523481.64788963,413.64493244750355,2176104.707177934,1707865.0,1.0812986268511735,1.0
2024-02-24,12523100.598641895,381.049247735846,2176518.3521103812,1708880.0,1.0812986268511735,1.0
2024-03-02,12522749.587182824,351.0114590717631,2176899.401358117,1709738.0,1.0812986268511735,1.0
2024-03-09,12522426.254722018,323.33246080649894,2177250.4128171885,1710453.0,1.0812986268511735,1.0
2024-03-16,12522128.426322894,297.8283991236102,2177573.7452779952,1711339.0,1.0812986268511735,1.0
2024-03-23,12521854.096781543,274.32954135214834,2177871.573677119,1711945.0,1.0812986268511735,1.0
2024-03-30,12521601.417558245,252.6792232968489,2178145.903218471,1712464.0,1.0812986268511735,1.0
2024-04-06,12521368.684688125,232.73287012079294,2178398.5824417677,1713155.0,1.0812986268511735,1.0
2024-04-13,12521154.327601708,214.35708641686583,2178631.3153118887,1713867.0,1.0812986268511735,1.0
2024-04-20,12520956.898790475,197.4288112339641,2178845.6723983055,1714520.0,1.0812986268511735,1.0
2024-04-27,12520775.0642565,181.83453397478206,2179043.1012095395,1715259.0,1.0812986268511735,1.0
2024-05-04,12520607.594689252,167.46956724795095,2179224.9357435144,1716148.0,1.0812986268511735,1.0
2024-05-11,12520453.357316319,154.23737293322716,2179392.4053107626,1717089.0,1.0812986268511735,1.0
2024-05-18,12520311.308378419,142.0489379001991,2179546.642683696,1718344.0,1.0812986268511735,1.0
2024-05-25,12520180.486182414,130.82219600526795,2179688.691621596,1719315.0,1.0812986268511735,1.0
